id,duration,length_cycling,length_local,partition,end_of_facility,length_bike_lane,length_seperate_cycling_link,length_collector,elev_m3,intersections,intersections_disc,length_arterial,length,elev_m2,avg_speed,length_inverse,traffic_lights,length_designated_roadway,length_other_road,change_of_facility_type,length_offroad,right_turn,left_turn,length_highway
852,4456,11776.192611484674,594.2068800939225,"[87, 219]",0,1459.9817133267704,9927.602660299166,2343.900533192821,0.10320375619700028,159,41,2637.814769697453,17684.42286969496,11.503872168763492,3.96867658655632,678.2723184429843,45,388.6082378587406,0,8,0,11,9,0
322,6661,3699.3748270597957,6303.863011955816,"[641, 26]",2,512.9601770412057,161.03006172860876,4664.491798442235,-9.143807781520144,161,33,5219.495008345597,26505.97380741424,137.54225660588554,3.979278457801267,2765.340525033299,39,754.9659948484008,2460.280396760385,1,2270.418593441581,25,14,0
448,1383,1006.343593496133,2060.1656563373026,"[148, 689]",1,18.798439645092003,987.545153851041,1026.4619242584627,-1.5843691368186876,64,22,2198.207330600518,6507.504850801313,9.057714079785796,4.705354194361036,747.6072534667911,9,0,0,2,0,8,7,0
983,1096,1699.7879710920606,1549.4798929249648,"[288, 209]",0,1027.9264134366438,349.73979512068246,1707.3235410750494,-0.1963761721710065,51,26,314.05147151154773,5288.4693877187,2.7794597449133587,4.825245791714142,395.21824246777373,17,322.12176253473456,0,5,0,5,7,0
888,667,971.5466294200103,0,"[247, 212]",0,222.31126316686738,749.235366253143,1357.30785568177,-0.04419650438562921,31,25,180.37213178575104,2509.2266168875312,1.2469496279702807,3.7619589458583675,0,17,0,0,3,0,1,1,0
433,1332,1326.524433413434,1691.2104845787908,"[277, 194]",0,418.4431730856106,510.0304728512895,403.6481724780794,4.531964917046921,52,12,1612.7207276079241,5454.72091425553,10.421240325262367,4.095135821513161,0,16,398.0507874765341,0,5,0,4,3,0
657,2248,605.2547974375733,0,"[226, 82]",0,0,436.9952179774033,450.6327404627194,-9.59697635236626,43,22,1517.9702052304933,5971.367028829248,19.02788195591421,2.6563020590877437,91.53479379800412,8,168.25957946017002,2033.201117978678,4,0,4,2,0
449,1546,1746.0574355602012,468.08582115446677,"[274, 217]",1,27.2979890915326,523.0549291632818,953.5010012010544,0.017187370710459567,38,12,256.9164910290081,4378.81210395703,1.0195391526740516,2.832349355728997,295.5374549414631,3,81.48752418556019,0,4,1114.2169931198266,10,6,0
504,1299,436.3508460538472,1649.7335271235631,"[96, 257]",1,170.28641634976609,266.0644297040811,1097.061637026515,0.29439131115338646,63,14,3025.0719171931164,6228.229815362162,4.426042077261889,4.794634191964713,308.6886542222088,21,0,0,1,0,6,5,0
429,2250,5493.67892348151,2621.527781734277,"[252, 680]",0,185.50221758412542,5042.580225963811,368.3592139618697,-0.34872044839023275,136,27,6464.31822425062,15818.996436417196,6.391701652680075,7.030665082852087,2042.629304011218,43,265.5964799335734,0,8,0,18,13,0
222,2748,8019.232986646076,1549.2924014293635,"[284, 117]",2,651.0562537080273,7196.596056056924,2337.524120079091,-0.42272469314910155,125,54,1749.1807328201041,13989.400602953743,9.52012085395669,5.090757133534841,1231.3682433797997,26,171.58067688112345,0,11,0,13,12,0
680,5949,24438.810355266218,2105.298159001509,"[123, 123]",1,0,23733.94265884104,8841.87425359302,-0.7997099541339486,196,40,918.1480507507254,41188.56235815942,15.543884684898854,6.923611087268351,581.2720606566227,2,0,63.87834433710685,11,704.8676964251769,14,12,0
445,4928,2000.966614721213,4298.180626340017,"[167, 1065]",4,340.3948714050209,686.1812183130337,1525.5950453759233,-0.3961529677639579,97,38,4602.05523145268,26089.793884129525,3.336044916776645,5.294195187526284,1849.2091449482778,16,974.3905250031586,0,6,0,15,12,0
1025,1400,1025.8722127363317,1188.5373016606723,"[197, 314]",1,130.63555716103383,551.5933933474425,111.75496987492444,-0.040390036665072786,71,9,6576.447373655858,9359.346496811748,2.5066387532307126,6.685247497722677,814.7601076730385,25,260.67065947188524,0,2,82.97260275597,6,5,0
595,1343,2161.3877782846985,2895.3406043974737,"[270, 35]",1,1645.2164536856944,374.7282777397873,197.4626912156109,-0.19276414486015053,47,26,983.0373959789349,6262.7644085192405,3.8674809950013227,4.6632646377656295,180.67530906960036,16,141.44304685921725,0,5,0,3,3,0
367,898,3480.227390391734,380.31555099966977,"[213, 363]",1,0,841.6208811934871,22.28176357794814,-0.1040851042204531,26,2,163.05644168059712,4159.65871740416,1.6730164164895336,4.6321366563520705,163.05644168059712,1,21.15908609185257,0,2,2617.447423106394,1,2,0
128,1939,3036.497217088321,3691.7360894461153,"[282, 12]",0,2245.721601831561,165.26718184221602,609.002976479946,-0.058511334230657026,79,27,1891.7482725899204,9299.252877028403,3.124087313617591,4.795901432196185,428.3906417706724,30,625.5084334145432,0,4,0,10,14,0
310,905,558.8584880911499,860.5408268475761,"[382, 229]",0,558.8584880911499,0,3442.95744368826,0.003469854587365309,52,12,159.83317013816193,5022.189928765147,1.4057718528566605,5.549381136757068,0,20,0,0,1,0,5,5,0
337,493,114.65028070836658,0,"[396, 47]",0,0,114.65028070836658,125.80778776274732,0.014657399406286978,25,5,1700.6957843425243,1953.4815048720602,0.7341426828470472,3.9624371295579315,0,11,0,0,0,0,1,0,0
388,1169,26.43025829467753,160.09754162477554,"[55, 368]",1,26.43025829467753,0,578.3768055152394,-5.811822927491317,75,7,5701.298919074026,6978.832464099012,20.906673801747782,5.969916564669814,55.56193564640341,34,0,0,1,0,10,2,0
472,3099,9964.162520163269,948.0917180733803,"[238, 681]",0,266.93566609141874,9262.357786109827,729.9779269085253,-10.290722475897626,117,41,1628.6730087934345,15328.410104923132,24.844491782815254,4.946243983518275,748.2095075730487,20,434.8690679620232,1511.041809242505,12,0,10,10,0
718,327,277.4610054696503,471.67440727712693,"[125, 694]",0,277.4610054696503,0,998.9734466704847,0.0005130056867728693,19,8,257.84098178594945,2005.9498412032112,0.11127557986431072,6.13440318410768,278.7380739839275,5,0,0,1,0,1,1,0
700,1932,3048.29845908238,1574.3231563196612,"[251, 90]",0,219.1309664377323,1272.1071730205747,446.69966449001777,-0.11227369479277023,36,12,146.59603732313604,6232.686167205354,2.9834981888340817,3.226028036855773,705.7762047503272,8,0,0,3,1557.0603196240727,3,7,0
248,531,216.80379694298887,1242.075686035194,"[398, 99]",0,0,216.80379694298887,33.310336421243846,-0.08277145937363133,22,3,494.8963507163302,2014.6838336559033,1.1755255402704305,3.794131513476277,-28.2567701626176,6,0,0,3,0,2,3,0
784,662,862.1495226406971,83.10135553572312,"[208, 22]",0,358.9365974672269,503.2129251734703,407.8412876173629,-0.034635980992990104,27,16,945.2909292977366,2298.3830950915194,2.8607292212160744,3.47187778714731,0,17,0,0,0,0,4,2,0
233,1364,1259.9609857858288,1556.371118266917,"[375, 226]",0,199.61553339898188,798.0846312464996,1106.8120566444245,-0.039225790007325574,44,27,102.33779794995145,4230.696309872745,1.6275334856139028,3.1016835116369097,0,16,262.26082114034745,0,5,0,3,3,0
809,897,1964.3197262978385,1535.2619423510216,"[284, 562]",0,1964.3197262978385,0,1915.5940918028284,-0.024567972629735844,59,41,195.3102814036863,5610.4860418553735,1.0906844407518679,6.254722454688265,0,13,0,0,1,0,4,3,0
422,1868,1290.4211266119626,1607.7196335074996,"[695, 167]",1,691.6431752122994,555.8051159569375,385.7609165533582,0.6046564485864093,66,17,3478.979535974863,7601.208635082794,7.933268673650939,4.06916950486231,1373.095565306861,13,42.97283544272546,0,2,0,9,11,234.54506693542498
